entry_time,exit_time,direction,entry_price,exit_price,contracts,gross_pnl,fees,net_pnl,bars_held,exit_reason
2010-06-14 13:45:00,2010-06-14 18:20:00,1,5224.75,5215.5,2,-370.0,5.6,-375.6,55,spread_decay
2010-07-12 13:50:00,2010-07-12 14:30:00,1,5191.75,5179.75,2,-480.0,5.6,-485.6,8,stop_loss
2010-07-26 14:25:00,2010-07-26 19:10:00,-1,5238.75,5245.0,2,-250.0,5.6,-255.6,57,spread_decay
2010-07-28 17:50:00,2010-07-28 23:20:00,-1,5237.25,5231.75,3,330.0,8.399999999999999,321.6,53,hawkes_cooldown
2010-08-09 13:40:00,2010-08-09 15:05:00,1,5274.75,5271.0,3,-225.0,8.399999999999999,-233.4,17,spread_decay
2010-08-30 13:45:00,2010-08-30 15:55:00,1,5158.0,5146.0,2,-480.0,5.6,-485.6,26,stop_loss
2010-09-02 15:20:00,2010-09-02 20:30:00,1,5193.5,5202.0,2,340.0,5.6,334.4,59,spread_decay
2010-09-08 16:35:00,2010-09-08 18:05:00,1,5247.75,5238.75,3,-540.0,8.399999999999999,-548.4,18,stop_loss
2010-09-09 16:50:00,2010-09-09 17:15:00,1,5257.75,5250.25,4,-600.0,11.2,-611.2,5,stop_loss
2010-09-13 13:45:00,2010-09-13 19:35:00,1,5278.5,5280.0,2,60.0,5.6,54.4,70,spread_decay
2010-09-14 16:15:00,2010-09-14 20:30:00,1,5298.75,5288.25,3,-630.0,8.399999999999999,-638.4,48,stop_loss
2010-10-07 14:50:00,2010-10-07 23:55:00,1,5376.5,5379.0,2,100.0,5.6,94.4,93,hawkes_cooldown
2010-10-11 13:45:00,2010-10-11 19:20:00,1,5394.5,5392.0,3,-150.0,8.399999999999999,-158.4,67,spread_decay
2010-10-15 15:15:00,2010-10-15 20:10:00,1,5438.75,5461.5,2,910.0,5.6,904.4,59,take_profit
2010-10-22 13:45:00,2010-10-24 22:40:00,1,5459.0,5469.0,2,400.0,5.6,394.4,86,spread_decay
2010-11-01 18:50:00,2010-11-01 22:55:00,1,5489.0,5491.5,3,150.0,8.399999999999999,141.6,38,hawkes_cooldown
2010-11-12 17:30:00,2010-11-15 01:35:00,-1,5489.25,5506.0,1,-335.0,2.8,-337.8,76,stop_loss
2010-11-17 15:45:00,2010-11-17 20:05:00,1,5472.0,5465.75,2,-250.0,5.6,-255.6,52,spread_decay
2010-11-18 17:15:00,2010-11-18 18:30:00,1,5509.75,5506.5,3,-195.0,8.399999999999999,-203.4,15,spread_decay
2010-11-23 16:55:00,2010-11-23 21:00:00,-1,5472.5,5481.75,2,-370.0,5.6,-375.6,49,spread_decay
2010-11-24 15:30:00,2010-11-24 19:40:00,1,5524.75,5524.5,2,-10.0,5.6,-15.6,50,spread_decay
2010-11-30 14:45:00,2010-11-30 21:05:00,-1,5480.0,5480.5,2,-20.0,5.6,-25.6,76,spread_decay
2010-12-01 16:10:00,2010-12-01 17:30:00,1,5529.5,5534.75,3,315.0,8.399999999999999,306.6,16,spread_decay
2010-12-06 14:35:00,2010-12-06 15:50:00,1,5557.0,5553.25,3,-225.0,8.399999999999999,-233.4,15,spread_decay
2010-12-10 18:05:00,2010-12-10 20:45:00,1,5578.25,5581.0,4,220.0,11.2,208.8,32,spread_decay
2010-12-13 17:05:00,2010-12-13 20:50:00,-1,5584.75,5574.0,4,860.0,11.2,848.8,45,take_profit
2010-12-14 17:35:00,2010-12-14 19:50:00,-1,5582.25,5581.25,5,100.0,14.0,86.0,27,spread_decay
2010-12-15 16:45:00,2010-12-15 19:40:00,-1,5579.0,5565.5,3,810.0,8.399999999999999,801.6,35,take_profit
2010-12-16 16:50:00,2010-12-17 01:00:00,1,5584.5,5586.75,3,135.0,8.399999999999999,126.6,87,hawkes_cooldown
2010-12-23 15:15:00,2010-12-23 18:45:00,-1,5597.0,5595.25,4,140.0,11.2,128.8,42,spread_decay
2010-12-27 14:40:00,2010-12-27 18:10:00,-1,5581.75,5588.25,3,-390.0,8.399999999999999,-398.4,42,spread_decay
2010-12-28 17:05:00,2010-12-28 20:30:00,-1,5589.75,5595.0,5,-525.0,14.0,-539.0,41,stop_loss
2010-12-30 14:25:00,2010-12-30 15:05:00,1,5596.75,5592.0,5,-475.0,14.0,-489.0,8,stop_loss
2011-01-03 15:05:00,2011-01-03 17:35:00,1,5620.75,5626.75,2,240.0,5.6,234.4,30,spread_decay
2011-01-04 16:35:00,2011-01-04 17:55:00,-1,5612.25,5607.0,3,315.0,8.399999999999999,306.6,16,spread_decay
2011-01-10 14:45:00,2011-01-11 04:35:00,1,5640.75,5653.0,2,490.0,5.6,484.4,146,hawkes_cooldown
2011-01-17 14:10:00,2011-01-18 02:25:00,-1,5663.0,5661.75,2,50.0,5.6,44.4,68,hawkes_cooldown
2011-01-18 14:50:00,2011-01-18 21:35:00,1,5679.75,5705.0,2,1010.0,5.6,1004.4,78,take_profit
2011-01-20 17:15:00,2011-01-20 19:15:00,-1,5640.75,5651.75,2,-440.0,5.6,-445.6,24,stop_loss
2011-01-24 17:55:00,2011-01-24 21:10:00,1,5660.0,5662.5,4,200.0,11.2,188.8,39,spread_decay
2011-01-31 14:55:00,2011-01-31 17:10:00,-1,5625.0,5643.75,2,-750.0,5.6,-755.6,27,stop_loss
2011-02-04 18:30:00,2011-02-04 21:00:00,1,5702.25,5702.0,3,-15.0,8.399999999999999,-23.4,30,spread_decay
2011-02-14 14:50:00,2011-02-14 19:05:00,1,5748.25,5749.75,4,120.0,11.2,108.8,51,spread_decay
2011-02-15 17:55:00,2011-02-15 19:25:00,1,5748.5,5742.75,5,-575.0,14.0,-589.0,18,stop_loss
2011-02-17 18:40:00,2011-02-18 06:35:00,-1,5765.25,5761.0,4,340.0,11.2,328.8,125,spread_decay
2011-02-18 16:00:00,2011-02-21 03:40:00,-1,5758.5,5755.25,3,195.0,8.399999999999999,186.6,117,hawkes_cooldown
2011-02-22 14:40:00,2011-02-22 17:15:00,-1,5714.75,5711.25,2,140.0,5.6,134.4,31,spread_decay
2011-02-25 15:50:00,2011-02-25 19:30:00,1,5714.0,5712.0,2,-80.0,5.6,-85.6,44,spread_decay
2011-03-14 13:55:00,2011-03-14 15:15:00,1,5665.0,5646.0,1,-380.0,2.8,-382.8,16,stop_loss
2011-03-18 15:45:00,2011-03-18 17:35:00,-1,5589.25,5600.25,1,-220.0,2.8,-222.8,22,spread_decay
2011-03-24 15:35:00,2011-03-24 20:35:00,1,5668.0,5674.5,2,260.0,5.6,254.4,57,spread_decay
2011-03-28 13:40:00,2011-03-28 19:45:00,-1,5688.75,5675.0,3,825.0,8.399999999999999,816.6,73,take_profit
2011-03-31 19:20:00,2011-04-01 08:25:00,1,5707.75,5716.25,5,850.0,14.0,836.0,147,take_profit
2011-04-04 15:00:00,2011-04-04 19:55:00,-1,5700.75,5699.75,2,40.0,5.6,34.4,59,spread_decay
2011-04-05 18:50:00,2011-04-05 21:05:00,-1,5697.25,5693.75,3,210.0,8.399999999999999,201.6,23,spread_decay
2011-04-06 13:55:00,2011-04-06 14:45:00,1,5716.25,5709.5,2,-270.0,5.6,-275.6,10,spread_decay
2011-04-07 13:50:00,2011-04-07 14:40:00,1,5710.0,5695.25,2,-590.0,5.6,-595.6,10,stop_loss
2011-04-11 13:50:00,2011-04-11 17:45:00,-1,5695.5,5680.75,2,590.0,5.6,584.4,47,spread_decay
2011-04-13 14:40:00,2011-04-13 22:45:00,1,5678.75,5677.25,2,-60.0,5.6,-65.6,86,hawkes_cooldown
2011-04-14 16:40:00,2011-04-14 19:20:00,-1,5671.0,5680.75,3,-585.0,8.399999999999999,-593.4,32,stop_loss
2011-04-20 14:35:00,2011-04-20 19:10:00,1,5726.25,5719.5,2,-270.0,5.6,-275.6,55,spread_decay
2011-04-21 19:55:00,2011-04-24 22:35:00,-1,5742.25,5742.5,4,-20.0,11.2,-31.2,10,spread_decay
2011-04-28 13:45:00,2011-04-29 00:05:00,-1,5773.0,5771.25,3,105.0,8.399999999999999,96.6,113,hawkes_cooldown
2011-05-03 14:05:00,2011-05-03 17:30:00,-1,5767.25,5748.75,2,740.0,5.6,734.4,41,take_profit
2011-05-03 17:35:00,2011-05-03 18:45:00,-1,5749.25,5749.75,2,-20.0,5.6,-25.6,14,spread_decay
2011-05-04 13:50:00,2011-05-04 14:10:00,1,5765.25,5751.25,2,-560.0,5.6,-565.6,4,stop_loss
2011-05-04 14:15:00,2011-05-04 16:45:00,1,5756.5,5735.5,1,-420.0,2.8,-422.8,30,stop_loss
2011-05-09 13:50:00,2011-05-09 16:00:00,-1,5746.5,5759.25,2,-510.0,5.6,-515.6,26,stop_loss
2011-05-11 13:45:00,2011-05-11 16:00:00,1,5778.0,5766.0,3,-720.0,8.399999999999999,-728.4,27,stop_loss
2011-05-16 14:35:00,2011-05-16 17:05:00,-1,5735.25,5713.25,2,880.0,5.6,874.4,30,take_profit
2011-05-16 17:10:00,2011-05-16 23:10:00,-1,5711.5,5698.75,2,510.0,5.6,504.4,63,hawkes_cooldown
2011-05-19 13:40:00,2011-05-19 15:30:00,-1,5733.75,5728.5,3,315.0,8.399999999999999,306.6,22,spread_decay
2011-05-23 13:50:00,2011-05-23 18:30:00,-1,5681.5,5686.25,2,-190.0,5.6,-195.6,56,spread_decay
2011-05-26 13:55:00,2011-05-26 18:35:00,1,5681.0,5699.75,2,750.0,5.6,744.4,56,take_profit
2011-05-27 17:45:00,2011-05-29 22:00:00,1,5705.0,5701.0,5,-400.0,14.0,-414.0,30,spread_decay
2011-05-31 17:10:00,2011-05-31 19:50:00,1,5723.75,5737.25,3,810.0,8.399999999999999,801.6,32,take_profit
2011-06-01 13:35:00,2011-06-01 14:35:00,1,5739.25,5729.5,3,-585.0,8.399999999999999,-593.4,12,stop_loss
2011-06-01 14:40:00,2011-06-01 16:10:00,1,5729.5,5713.75,2,-630.0,5.6,-635.6,18,stop_loss
2011-06-01 17:05:00,2011-06-01 18:15:00,1,5719.0,5707.75,2,-450.0,5.6,-455.6,14,stop_loss
2011-06-03 16:45:00,2011-06-03 19:05:00,-1,5681.0,5665.5,3,930.0,8.399999999999999,921.6,28,take_profit
2011-06-09 14:10:00,2011-06-09 19:10:00,-1,5623.5,5635.25,2,-470.0,5.6,-475.6,60,spread_decay
2011-06-10 13:45:00,2011-06-10 14:40:00,1,5619.0,5607.0,2,-480.0,5.6,-485.6,11,stop_loss
2011-06-16 16:45:00,2011-06-16 18:15:00,-1,5581.75,5567.0,3,885.0,8.399999999999999,876.6,18,take_profit
2011-06-16 18:45:00,2011-06-16 20:40:00,-1,5558.25,5571.25,2,-520.0,5.6,-525.6,20,stop_loss
2011-06-21 14:15:00,2011-06-21 18:40:00,1,5598.0,5623.25,2,1010.0,5.6,1004.4,53,take_profit
2011-06-21 20:00:00,2011-06-22 03:35:00,1,5622.0,5612.25,3,-585.0,8.399999999999999,-593.4,80,stop_loss
2011-06-23 14:15:00,2011-06-23 19:15:00,1,5585.75,5617.0,1,625.0,2.8,622.2,60,take_profit
2011-07-05 17:05:00,2011-07-05 18:30:00,1,5742.25,5735.5,4,-540.0,11.2,-551.2,17,stop_loss
2011-07-07 15:20:00,2011-07-07 20:30:00,1,5776.0,5789.75,3,825.0,8.399999999999999,816.6,59,take_profit
2011-07-12 13:55:00,2011-07-12 18:20:00,-1,5715.0,5736.25,1,-425.0,2.8,-427.8,53,stop_loss
2011-07-19 13:50:00,2011-07-19 17:40:00,1,5754.75,5761.5,2,270.0,5.6,264.4,46,spread_decay
2011-07-20 14:05:00,2011-07-20 20:45:00,-1,5768.25,5747.25,2,840.0,5.6,834.4,77,take_profit
2011-07-21 13:40:00,2011-07-21 14:05:00,-1,5752.5,5772.0,2,-780.0,5.6,-785.6,5,stop_loss
2011-07-21 15:55:00,2011-07-21 16:45:00,-1,5768.25,5783.5,2,-610.0,5.6,-615.6,10,stop_loss
2011-07-28 15:30:00,2011-07-28 18:30:00,1,5771.25,5754.25,2,-680.0,5.6,-685.6,36,stop_loss
2011-09-19 15:15:00,2011-09-19 19:35:00,1,5655.75,5690.25,1,690.0,2.8,687.2,52,take_profit
2011-09-21 16:00:00,2011-09-21 19:35:00,1,5682.25,5658.25,1,-480.0,2.8,-482.8,43,stop_loss
2011-09-29 15:00:00,2011-09-29 18:15:00,-1,5583.0,5532.0,1,1020.0,2.8,1017.2,39,take_profit
2011-10-18 16:55:00,2011-10-18 19:10:00,-1,5719.5,5736.25,2,-670.0,5.6,-675.6,27,stop_loss
2011-10-24 14:45:00,2011-10-24 21:15:00,1,5744.5,5750.0,1,110.0,2.8,107.2,75,spread_decay
2011-11-10 15:25:00,2011-11-10 23:50:00,-1,5677.25,5686.0,1,-175.0,2.8,-177.8,88,hawkes_cooldown
2011-11-17 16:00:00,2011-11-17 17:35:00,-1,5679.75,5645.5,1,685.0,2.8,682.2,19,take_profit
2011-12-13 15:45:00,2011-12-13 20:30:00,-1,5676.75,5647.0,2,1190.0,5.6,1184.4,57,take_profit
2011-12-14 16:30:00,2011-12-14 19:15:00,-1,5605.25,5610.0,1,-95.0,2.8,-97.8,33,spread_decay
2011-12-15 17:25:00,2011-12-15 23:10:00,-1,5610.75,5608.0,2,110.0,5.6,104.4,60,hawkes_cooldown
2011-12-16 14:45:00,2011-12-16 20:00:00,1,5628.75,5617.75,1,-220.0,2.8,-222.8,63,spread_decay
2011-12-21 15:15:00,2011-12-21 23:25:00,-1,5626.25,5625.75,1,10.0,2.8,7.2,86,spread_decay
2011-12-27 18:30:00,2011-12-27 21:05:00,1,5674.25,5669.5,5,-475.0,14.0,-489.0,31,stop_loss
2011-12-29 15:00:00,2011-12-29 16:50:00,-1,5644.25,5655.5,2,-450.0,5.6,-455.6,22,stop_loss
2011-12-30 14:40:00,2011-12-30 20:30:00,1,5662.0,5660.0,3,-120.0,8.399999999999999,-128.4,70,spread_decay
2012-01-04 14:45:00,2012-01-04 15:45:00,-1,5690.5,5688.5,2,80.0,5.6,74.4,12,spread_decay
2012-01-05 14:35:00,2012-01-06 02:15:00,1,5710.75,5720.0,2,370.0,5.6,364.4,130,spread_decay
2012-01-06 16:55:00,2012-01-09 00:10:00,1,5737.25,5726.75,2,-420.0,5.6,-425.6,66,stop_loss
2012-01-10 14:40:00,2012-01-10 15:55:00,1,5756.0,5749.75,3,-375.0,8.399999999999999,-383.4,15,spread_decay
